t_s,vdc_v,idc_a,i_gen_a,i_load_a,i_fault_a,v_pos_gnd_v,v_neg_gnd_v
0,1500,0,0,0,0,750,-750
5e-05,1499.99997717632,3.6303074034813,25.0813855493765,3.6303074034813,0,749.999988588159,-749.999988588159
0.0001,1499.99995173679,7.25456933391709,49.9132104516073,7.25456933391709,0,749.999975868393,-749.999975868393
0.00015,1499.99998672539,10.8727958587039,74.497957065397,10.8727958587039,0,749.999993362694,-749.999993362694
0.0002,1500.00014321554,14.4849970284734,98.8380813201233,14.4849970284734,0,750.00007160777,-750.00007160777
0.00025,1500.00048035002,18.09118287712,122.936013032548,18.09118287712,0,750.000240175009,-750.000240175009
0.0003,1500.00105538022,21.6913634218289,146.794156219291,21.6913634218289,0,750.000527690109,-750.000527690109
0.00035,1500.00192370478,25.2855486631039,170.414889405133,25.2855486631039,0,750.000961852389,-750.000961852389
0.0004,1500.00313890752,28.8737485847953,193.8005659272,28.8737485847953,0,750.001569453762,-750.001569453762
0.00045,1500.0047527948,32.4559731541274,216.953514235086,32.4559731541274,0,750.002376397402,-750.002376397402
0.0005,1500.00681543218,36.0322323217262,239.876038186987,36.0322323217262,0,750.003407716088,-750.003407716088
0.00055,1500.00937518048,39.6025360216473,262.570417341882,39.6025360216473,0,750.004687590242,-750.004687590242
0.0006,1500.01247873133,43.1668941714034,285.038907247831,43.1668941714034,0,750.006239365667,-750.006239365667
0.00065,1500.01617114195,46.7253166719914,307.283739726441,46.7253166719914,0,750.008085570975,-750.008085570975
0.0007,1500.02049586946,50.2778134079208,329.307123153558,50.2778134079208,0,750.010247934729,-750.010247934729
0.00075,1500.02549480457,53.8243942472402,351.111242736225,53.8243942472402,0,750.012747402287,-750.012747402287
0.0008,1500.03120830473,57.3650690415653,372.698260785983,57.3650690415653,0,750.015604152366,-750.015604152366
0.00085,1500.03767522664,60.8998476261063,394.070316988542,60.8998476261063,0,750.018837613319,-750.018837613319
0.0009,1500.04493295827,64.4287398196947,415.22952866989,64.4287398196947,0,750.022466479136,-750.022466479136
0.00095,1500.05301745033,67.9517554248113,436.177991058881,67.9517554248113,0,750.026508725167,-750.026508725167
0.001,1500.06196324718,71.4689042276126,456.917777546361,71.4689042276126,0,750.030981623589,-750.030981623589
0.00105,1500.07180351717,74.9801959979587,477.450939940869,74.9801959979587,0,750.035901758587,-750.035901758587
0.0011,1500.08257008259,78.4856404894402,497.779508720976,78.4856404894402,0,750.041285041294,-750.041285041294
0.00115,1500.09429344892,81.9852474394051,517.905493284294,81.9852474394051,0,750.047146724458,-750.047146724458
0.0012,1500.10700283373,85.4790265689861,537.830882193217,85.4790265689861,0,750.053501416866,-750.053501416866
0.00125,1500.12072619503,88.9669875831274,557.557643417426,88.9669875831274,0,750.060363097514,-750.060363097514
0.0013,1500.13549025906,92.449140170612,577.087724573217,92.449140170612,0,750.067745129531,-750.067745129531
0.00135,1500.15132054773,95.925494004088,596.423053159689,95.925494004088,0,750.075660273863,-750.075660273863
0.0014,1500.16824140544,99.3960587400962,615.565536791833,99.3960587400962,0,750.084120702718,-750.084120702718
0.00145,1500.18627602555,102.860844019096,634.517063430582,102.860844019096,0,750.093138012776,-750.093138012776
0.0015,1500.20544647634,106.319859465494,653.279501609842,106.319859465494,0,750.10272323817,-750.10272323817
0.00155,1500.22577372647,109.773114687669,671.854700660563,109.773114687669,0,750.112886863236,-750.112886863236
0.0016,1500.24727767009,113.220619277997,690.244490931892,113.220619277997,0,750.123638835043,-750.123638835043
0.00165,1500.2699771514,116.662382812883,708.450684009434,116.662382812883,0,750.1349885757,-750.1349885757
0.0017,1500.2938899889,120.098414852784,726.475072930682,120.098414852784,0,750.14694499445,-750.14694499445
0.00175,1500.31903299908,123.528724942234,744.319432397641,123.528724942234,0,750.159516499542,-750.159516499542
0.0018,1500.34542201981,126.953322609877,761.985518986687,126.953322609877,0,750.172711009905,-750.172711009905
0.00185,1500.3730719332,130.372217368484,779.475071355714,130.372217368484,0,750.186535966602,-750.186535966602
0.0019,1500.40199668818,133.785418714988,796.789810448581,133.785418714988,0,750.20099834409,-750.20099834409
0.00195,1500.43220932255,137.192936130506,813.93143969693,137.192936130506,0,750.216104661275,-750.216104661275
0.002,1500.46372198474,140.594779080366,830.90164521938,140.594779080366,0,750.23186099237,-750.23186099237
0.00205,1500.49654595512,143.990957014135,847.702096018154,143.990957014135,0,750.248272977558,-750.248272977558
0.0021,1500.53069166693,147.381479365642,864.334444173173,147.381479365642,0,750.265345833466,-750.265345833466
0.00215,1500.56616872689,150.766355553007,880.80032503364,150.766355553007,0,750.283084363447,-750.283084363447
0.0022,1500.60298593536,154.145594978665,897.101357407166,154.145594978665,0,750.301492967681,-750.301492967681
0.00225,1500.64115130617,157.519207029396,913.239143746463,157.519207029396,0,750.320575653087,-750.320575653087
0.0023,1500.68067208613,160.887201076346,929.215270333635,160.887201076346,0,750.340336043063,-750.340336043063
0.00235,1500.72155477408,164.249586475057,945.03130746211,164.249586475057,0,750.360777387042,-750.360777387042
0.0024,1500.76380513976,167.606372565489,960.688809616242,167.606372565489,0,750.381902569882,-750.381902569882
0.00245,1500.80742824215,170.957568672051,976.18931564861,170.957568672051,0,750.403714121073,-750.403714121073
0.0025,1500.85242844758,174.303184103623,991.534348955059,174.303184103623,0,750.426214223788,-750.426214223788
0.00255,1500.89880944752,177.643228153584,1006.7254176475,177.643228153584,0,750.449404723758,-750.449404723758
0.0026,1500.94657427598,180.977710099835,1021.7640147245,180.977710099835,0,750.473287137991,-750.473287137991
0.00265,1500.99572532665,184.306639204829,1036.65161823973,184.306639204829,0,750.497862663324,-750.497862663324
0.0027,1501.04626436964,187.630024715592,1051.38969146824,187.630024715592,0,750.523132184821,-750.523132184821
0.00275,1501.09819256803,190.947875863755,1065.97968307061,190.947875863755,0,750.549096284014,-750.549096284014
0.0028,1501.15151049398,194.260201865572,1080.4230272551,194.260201865572,0,750.57575524699,-750.57575524699
0.00285,1501.20621814466,197.56701192195,1094.72114393761,197.56701192195,0,750.603109072328,-750.603109072328
0.0029,1501.26231495777,200.868315218475,1108.87543889977,200.868315218475,0,750.631157478886,-750.631157478886
0.00295,1501.31979982689,204.164120925437,1122.8873039449,204.164120925437,0,750.659899913446,-750.659899913446
0.003,1501.37867111642,207.454438197854,1136.75811705209,207.454438197854,0,750.689335558208,-750.689335558208
0.00305,1501.4389266763,210.739276175497,1150.48924252827,210.739276175497,0,750.719463338152,-750.719463338152
0.0031,1501.5005638565,214.018643982918,1164.08203115846,214.018643982918,0,750.750281928251,-750.750281928251
0.00315,1501.56357952111,217.292550729475,1177.53782035403,217.292550729475,0,750.781789760556,-750.781789760556
0.0032,1501.62797006227,220.561005509356,1190.85793429914,220.561005509356,0,750.813985031136,-750.813985031136
0.00325,1501.6937314138,223.824017401603,1204.04368409538,223.824017401603,0,750.846865706898,-750.846865706898
0.0033,1501.76085906453,227.081595470141,1217.09636790453,227.081595470141,0,750.880429532267,-750.880429532267
0.00335,1501.82934807148,230.333748763799,1230.01727108961,230.333748763799,0,750.914674035738,-750.914674035738
0.0034,1501.89919307262,233.580486316339,1242.80766635408,233.580486316339,0,750.949596536308,-750.949596536308
0.00345,1501.97038829956,236.821817146479,1255.46881387942,236.821817146479,0,750.985194149778,-750.985194149778
0.0035,1502.04292758987,240.057750257916,1268.00196146087,240.057750257916,0,751.021463794933,-751.021463794933
0.00355,1502.11680439922,243.288294639357,1280.40834464158,243.288294639357,0,751.058402199608,-751.058402199608
0.0036,1502.19201181325,246.513459264538,1292.68918684504,246.513459264538,0,751.096005906626,-751.096005906626
0.00365,1502.26854255925,249.733253092251,1304.84569950593,249.733253092251,0,751.134271279627,-751.134271279627
0.0037,1502.34638901756,252.947685066371,1316.87908219924,252.947685066371,0,751.173194508779,-751.173194508779
0.00375,1502.42554323276,256.156764115876,1328.79052276791,256.156764115876,0,751.212771616379,-751.212771616379
0.0038,1502.50599692468,259.360499154878,1340.58119744883,259.360499154878,0,751.25299846234,-751.25299846234
0.00385,1502.58774149914,262.558899082643,1352.25227099731,262.558899082643,0,751.293870749571,-751.293870749571
0.0039,1502.6707680585,265.751972783617,1363.80489681,265.751972783617,0,751.335384029248,-751.335384029248
0.00395,1502.75506741197,268.939729127451,1375.2402170463,268.939729127451,0,751.377533705986,-751.377533705986
0.004,1502.84063008579,272.122176969026,1386.55936274832,272.122176969026,0,751.420315042894,-751.420315042894
0.00405,1502.92744633308,275.299325148477,1397.76345395931,275.299325148477,0,751.463723166542,-751.463723166542
0.0041,1503.01550614364,278.471182491218,1408.85359984068,278.471182491218,0,751.507753071822,-751.507753071822
0.00415,1503.10479925341,281.637757807965,1419.83089878758,281.637757807965,0,751.552399626704,-751.552399626704
0.0042,1503.19531515382,284.799059894763,1430.69643854308,284.799059894763,0,751.597657576911,-751.597657576911
0.00425,1503.28704310095,287.955097533008,1441.45129631091,287.955097533008,0,751.643521550477,-751.643521550477
0.0043,1503.37997212446,291.105879489475,1452.09653886692,291.105879489475,0,751.689986062231,-751.689986062231
0.00435,1503.47409103636,294.251414516337,1462.6332226691,294.251414516337,0,751.737045518179,-751.737045518179
0.0044,1503.56938843959,297.391711351193,1473.06239396631,297.391711351193,0,751.784694219793,-751.784694219793
0.00445,1503.66585273644,300.526778717093,1483.38508890568,300.526778717093,0,751.832926368218,-751.832926368218
0.0045,1503.76347213677,303.656625322558,1493.6023336387,303.656625322558,0,751.881736068385,-751.881736068385
0.00455,1503.86223466608,306.78125986161,1503.71514442608,306.78125986161,0,751.931117333042,-751.931117333042
0.0046,1503.96212817339,309.900691013789,1513.72452774129,309.900691013789,0,751.981064086697,-751.981064086697
0.00465,1504.06314033896,313.014927444186,1523.63148037284,313.014927444186,0,752.031570169482,-752.031570169482
0.0047,1504.16525868185,316.123977803459,1533.43698952544,316.123977803459,0,752.082629340926,-752.082629340926
0.00475,1504.26847056732,319.22785072786,1543.14203291981,319.22785072786,0,752.13423528366,-752.13423528366
0.0048,1504.37276321406,322.326554839261,1552.74757889138,322.326554839261,0,752.186381607029,-752.186381607029
0.00485,1504.47812370128,325.420098745176,1562.25458648777,325.420098745176,0,752.23906185064,-752.23906185064
0.0049,1504.58453897564,328.508491038784,1571.66400556516,328.508491038784,0,752.29226948782,-752.29226948782
0.00495,1504.69199585802,331.591740298954,1580.97677688343,331.591740298954,0,752.345997929011,-752.345997929011
0.005,1504.80048105016,334.669855090269,1590.19383220026,334.669855090269,0,752.400240525079,-752.400240525079
0.00505,1504.90998114112,337.742843963051,1599.31609436401,337.742843963051,0,752.45499057056,-752.45499057056
0.0051,1505.02048261366,340.810715453382,1608.34447740558,340.810715453382,0,752.51024130683,-752.51024130683
0.00515,1505.13197185041,343.873478083128,1617.27988662918,343.873478083128,0,752.565985925205,-752.565985925205
0.0052,1505.24443513994,346.931140359967,1626.12321870196,346.931140359967,0,752.622217569972,-752.622217569972
0.00525,1505.3578586827,349.983710777405,1634.87536174264,349.983710777405,0,752.67892934135,-752.67892934135
0.0053,1505.47222859679,353.031197814808,1643.53719540909,353.031197814808,0,752.736114298393,-752.736114298393
0.00535,1505.58753092362,356.073609937419,1652.10959098484,356.073609937419,0,752.793765461812,-752.793765461812
0.0054,1505.7037516335,359.110955596385,1660.59341146465,359.110955596385,0,752.851875816749,-752.851875816749
0.00545,1505.82087663095,362.143243228779,1668.989511639,362.143243228779,0,752.910438315476,-752.910438315476
0.0055,1505.93889176007,365.170481257624,1677.2987381776,365.170481257624,0,752.969445880036,-752.969445880036
0.00555,1506.05778280965,368.192678091916,1685.52192971202,368.192678091916,0,753.028891404823,-753.028891404823
0.0056,1506.17753551821,371.20984212665,1693.65991691718,371.20984212665,0,753.088767759104,-753.088767759104
0.00565,1506.29813557894,374.221981742837,1701.71352259209,374.221981742837,0,753.149067789472,-753.149067789472
0.0057,1506.41956864452,377.229105307535,1709.68356173951,377.229105307535,0,753.209784322259,-753.209784322259
0.00575,1506.54182033174,380.231221173866,1717.5708416447,380.231221173866,0,753.270910165872,-753.270910165872
0.0058,1506.66487622617,383.228337681043,1725.37616195336,383.228337681043,0,753.332438113085,-753.332438113085
0.00585,1506.78872188655,386.220463154392,1733.10031474853,386.220463154392,0,753.394360943276,-753.394360943276
0.0059,1506.91334284921,389.207605905373,1740.74408462671,389.207605905373,0,753.456671424605,-753.456671424605
0.00595,1507.03872463228,392.189774231609,1748.30824877305,392.189774231609,0,753.519362316141,-753.519362316141
0.006,1507.16485273987,395.166976416901,1755.79357703568,395.166976416901,0,753.582426369936,-753.582426369936
0.00605,1507.2917126661,398.139220731258,1763.2008319992,398.139220731258,0,753.645856333052,-753.645856333052
0.0061,1507.41928989906,401.106515430916,1770.53076905732,401.106515430916,0,753.70964494953,-753.70964494953
0.00615,1507.54756992464,404.068868758361,1777.78413648467,404.068868758361,0,753.773784962318,-753.773784962318
0.0062,1507.67653823029,407.026288942356,1784.96167550777,407.026288942356,0,753.838269115145,-753.838269115145
0.00625,1507.80618030869,409.978784197958,1792.06412037524,409.978784197958,0,753.903090154345,-753.903090154345
0.0063,1507.93648166129,412.926362726544,1799.09219842718,412.926362726544,0,753.968240830646,-753.968240830646
0.00635,1508.0674278018,415.869032715835,1806.04663016373,415.869032715835,0,754.033713900898,-754.033713900898
0.0064,1508.19900425953,418.806802339915,1812.9281293129,418.806802339915,0,754.099502129763,-754.099502129763
0.00645,1508.33119658273,421.739679759259,1819.73740289763,421.739679759259,0,754.165598291367,-754.165598291367
0.0065,1508.46399034179,424.667673120749,1826.47515130206,424.667673120749,0,754.231995170895,-754.231995170895
